ListingID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Cost_Price,Sale_Price
25,Honda City Corporate Edition,Quetta,2012,51920,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5,,5666.0
26,Nissan Micra Diesel XV,Abbottabad,2012,54000,Diesel,Manual,First,16.48 km/kg,1461 CC,63.1 bhp,5,,5666.0
27,Nissan Leaf,Abbottabad,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5,,3666.0
28,Honda WRV i-VTEC VX,Multan,2018,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5,14093.333333333334,13200.0
29,Toyota Innova 2.5 V Diesel 7-seater,Quetta,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7,,5333.0
30,Renault Duster 110PS Diesel RxZ Pack,Peshawar,2013,62000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,,10333.0
31,Toyota Corolla Altis G,Hyderabad,2012,87615,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5,,9000.0
32,Subaru Forester,Peshawar,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7,,16666.0
33,Audi A6 2.7 TDI,Faislabad,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,,15333.0
34,Volkswagen Vento 1.6 Highline,Lahore,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5,16440.0,9306.0
35,Nissan Leaf,Rawalpindi,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5,5000,2466.0
36,Nissan Leaf,Multan,2018,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,14826.666666666666,11506.0
37,Mazda CX-5,Hyderabad,2017,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5,,6466.0
38,Mercedes-Benz M-Class ML 350 CDI,Karachi,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5,,37333.0
39,Volkswagen Polo Diesel Trendline 1.2L,Islamabad,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,6666.0
40,Mazda CX-5,Hyderabad,2008,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,,1666.0
41,Subaru Forester,Multan,2014,19698,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,,2040.0
42,Honda Civic,Lahore,2017,22033,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6,,7440.0
43,Hyundai i20 Magna Optional 1.2,Multan,2014,35487,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,,6320.0
44,Hyundai Elantra 2.0 SX Option AT,Peshawar,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5,31520.0,11800.0
45,Toyota Corolla Altis G AT,Quetta,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5,,13480.0
46,Hyundai Elantra CRDi,Chitral,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5,,5666.0
47,Toyota Innova Crysta 2.7 GX MT,Peshawar,2012,70704,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7,24853.333333333332,14600.0
48,Hyundai Xcent 1.1 CRDi S,Rawalpindi,2014,75000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,7000,5133.0
49,Honda Civic,Rawalpindi,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6,10000,7333.0
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Multan,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,,28573.0
51,Nissan Leaf,Hyderabad,2014,52000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,5666.0
52,Mazda CX-5,Faislabad,2014,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,,4400.0
53,Honda Civic,Hyderabad,2013,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,5133.0
54,Hyundai Grand i10 Sportz,Islamabad,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5,,4800.0
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Faislabad,2015,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5,,5320.0
56,Renault KWID RXT,Multan,2017,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,,4400.0
57,Hyundai i10 Asta,Faislabad,2010,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2759.0
58,Nissan X-Trail SLX AT,Abbottabad,2010,121812,Diesel,Automatic,First,9.49 km/kg,1995 CC,147.6 bhp,5,,10333.0
59,Subaru Forester,Abbottabad,2010,39300,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5,,3000.0
60,Toyota Innova Crysta 2.4 GX MT 8S,Quetta,2017,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8,25786.666666666668,22000.0
61,Ford Figo Diesel Titanium,Peshawar,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,3666.0
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Hyderabad,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5,,35600.0
63,Mercedes-Benz New C-Class 200 CDI Classic,Karachi,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5,,13333.0
64,Honda Civic,Islamabad,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,,3333.0
65,Audi A4 2.0 TDI Multitronic,Rawalpindi,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,25000,18000.0
66,Honda City ZX CVT,Quetta,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5,,2466.0
67,Mercedes-Benz C-Class Progressive C 220d,Lahore,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5,65520.0,47560.0
68,Subaru Forester,Karachi,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,,10866.0
69,Hyundai Creta 1.4 E Plus Diesel,Quetta,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5,15746.666666666666,14000.0
70,Porsche Cayenne 2009-2014 Turbo,Quetta,2008,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5,,19333.0
71,Subaru Forester,Quetta,2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,12866.0
72,Hyundai i10 Sportz 1.2 AT,Multan,2012,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,,4640.0
73,Nissan Terrano XV D Pre,Multan,2015,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5,22199.999999999996,9226.0
74,Honda Brio VX AT,Lahore,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5,,8613.0
75,Audi A6 2.0 TDI Design Edition,Hyderabad,2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5,,39333.0
77,Toyota Innova 2.0 G1,Islamabad,2006,230000,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8,,6000.0
78,Toyota Innova 2.5 VX 7 STR BSIV,Abbottabad,2012,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,,15666.0
80,Mazda CX-5,Rawalpindi,2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,8000,5000.0
81,Toyota Corolla,Karachi,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,8893.333333333334,6000.0
82,Honda Amaze SX i-VTEC,Multan,2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,,6426.0
83,Ford Figo Diesel ZXI,Abbottabad,2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,3733.0
84,Subaru Forester,Rawalpindi,2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,7000,4146.0
85,Honda City i VTEC E,Hyderabad,2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5,,4333.0
86,BMW 5 Series 2003-2012 525d,Hyderabad,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5,,18533.0
87,Hyundai i10 Sportz 1.2,Karachi,2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,3000.0
88,Hyundai Grand i10 Sportz,Peshawar,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,,7666.0
90,Honda Amaze SX i-VTEC,Quetta,2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5,,6666.0
91,Toyota Fortuner 4x2 Manual,Hyderabad,2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,,22000.0
92,Audi A6 2011-2015 35 TDI Premium,Lahore,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,,52773.0
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Hyderabad,2013,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,7333.0
94,Honda Civic,Hyderabad,2014,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,10800.0
95,Honda Amaze SX i-DTEC,Faislabad,2015,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,4666.0
96,Volkswagen Polo Diesel Highline 1.2L,Faislabad,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3720.0
97,Hyundai Verna Transform SX VGT CRDi,Chitral,2010,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5,,4600.0
98,Honda Civic,Peshawar,2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,5933.0
99,Volkswagen Polo Petrol Highline 1.6L,Hyderabad,2010,62001,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5,,3533.0
100,Hyundai i20 1.4 CRDi Sportz,Karachi,2011,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5,,5066.0
101,Hyundai i20 Asta 1.2,Quetta,2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5,,6200.0
102,Datsun GO Plus T Petrol,Karachi,2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7,8600.0,5266.0
103,Audi A4 3.0 TDI Quattro Premium,Faislabad,2010,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,,13066.0
104,Hyundai i20 2015-2017 Asta,Karachi,2009,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,,3600.0
105,Mazda CX-5,Lahore,2010,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,,3213.0
106,Toyota Etios Liva 1.2 G,Chitral,2014,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5,8546.666666666666,5200.0
107,Jaguar XF 3.0 Litre S Premium Luxury,Abbottabad,2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5,,32000.0
108,Honda Civic,Hyderabad,2012,65000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7,,7666.0
109,Hyundai Verna 1.6 SX CRDI (O) AT,Faislabad,2014,40000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,,7000.0
110,Toyota Innova Crysta 2.8 ZX AT,Quetta,2017,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,36000.0,25666.0
111,Subaru Forester,Lahore,2017,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5,6840.0,5213.0
112,Toyota Corolla,Peshawar,2014,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,,2866.0
113,BMW 3 Series 320d Luxury Line,Quetta,2015,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,72573.33333333333,27666.0
114,Honda Civic 2006-2010 1.8 V MT,Hyderabad,2010,71088,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,,4466.0
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Chitral,2014,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,,14813.0
116,Volvo V40 Cross Country D3,Peshawar,2014,32700,Diesel,Automatic,First,23.3 kmpl,1984 CC,150 bhp,5,,26666.0
117,Nissan Micra XV CVT,Lahore,2016,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5,12680.0,8733.0
118,BMW 5 Series 2010-2013 525i,Quetta,2009,128000,Petrol,Automatic,First,10.8 kmpl,2497 CC,215 bhp,5,,9333.0
119,Toyota Corolla,Quetta,2016,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,13280.000000000002,10000.0
121,Mercedes-Benz B Class B200 CDI,Karachi,2014,53753,Diesel,Automatic,Second,15.0 kmpl,2143 CC,107.3 bhp,5,,22333.0
122,Hyundai Verna CRDi 1.6 SX Option,Faislabad,2018,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,19253.333333333332,14600.0
123,Nissan Leaf,Karachi,2011,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,3266.0
124,Nissan Leaf,Lahore,2017,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,,4306.0
125,Subaru Forester,Faislabad,2014,42000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,,10333.0
126,Mercedes-Benz New C-Class 200 K AT,Faislabad,2009,28352,Petrol,Automatic,First,11.7 kmpl,1796 CC,178 bhp,5,,12466.0
128,Honda CR-V 2.4 MT,Peshawar,2007,47700,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5,,7000.0
129,Volkswagen Vento 1.5 TDI Comfortline AT,Karachi,2015,55000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5,,9666.0
130,Honda Civic,Multan,2017,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,9960.0
131,Subaru Forester,Rawalpindi,2016,54000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7,25000,17666.0
132,Subaru Forester,Lahore,2016,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,,7746.0
133,Subaru Forester,Abbottabad,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,6040.0,3466.0
134,Mercedes-Benz SLC 43 AMG,Faislabad,2017,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2,126720.0,72000.0
135,Hyundai Verna VTVT 1.6 AT SX Plus,Multan,2019,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,17986.666666666668,15333.0
136,Nissan Leaf,Islamabad,2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,,2133.0
137,BMW 1 Series 118d Base,Lahore,2015,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5,,22960.0
138,Honda Jazz 1.2 V CVT i VTEC,Quetta,2015,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,,8000.0
139,Honda Civic 2006-2010 1.8 V MT,Hyderabad,2012,88578,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,,5266.0
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Multan,2014,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,,23933.0
141,Honda Amaze SX i-DTEC,Faislabad,2014,45044,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,4933.0
142,Subaru Forester,Multan,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,,7240.0
144,Toyota Fortuner 3.0 Diesel,Lahore,2012,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,,17986.0
145,Chevrolet Beat LT Option,Karachi,2014,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5,,3800.0
146,Skoda Rapid 1.5 TDI Elegance,Islamabad,2013,83000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5,,6333.0
147,Subaru Forester,Multan,2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,13200.0
148,Audi RS5 Coupe,Quetta,2013,23000,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4,170666.66666666666,49333.0
149,BMW 3 Series Luxury Line,Quetta,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,81173.33333333333,35333.0
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Lahore,2015,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,,31093.0
151,Toyota Corolla,Islamabad,2016,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,8333.0
152,Mercedes-Benz S Class 2005 2013 S 500,Faislabad,2010,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,5,,40000.0
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Lahore,2016,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,,13146.0
154,Skoda Superb Elegance 2.0 TDI CR AT,Karachi,2012,136997,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5,,11333.0
155,Hyundai EON Magna Plus,Multan,2019,14322,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,5640.0
156,Volkswagen Polo Diesel Trendline 1.2L,Rawalpindi,2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4666.0
157,Datsun GO NXT,Faislabad,2016,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5,,3333.0
158,Honda Brio S MT,Faislabad,2013,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,,3186.0
159,Mercedes-Benz B Class B180,Hyderabad,2013,29000,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5,,15000.0
160,Honda City i DTEC V,Multan,2015,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,9480.0
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Chitral,2016,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,,14533.0
162,Nissan Leaf,Chitral,2017,24005,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,,8266.0
163,Toyota Corolla,Quetta,2012,32792,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,10533.0
164,Ford Ecosport 1.5 DV5 MT Ambiente,Multan,2014,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,5893.0
165,Toyota Fortuner 4x2 Manual,Quetta,2012,131765,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,,18000.0
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Islamabad,2013,65000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5,,8333.0
167,Ford Figo Diesel Titanium,Rawalpindi,2010,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,,2800.0
168,BMW X5 xDrive 30d,Quetta,2015,41000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5,,60000.0
169,Mercedes-Benz New C-Class C 220 CDI Style,Lahore,2017,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,,44879.0
170,Honda Brio V MT,Peshawar,2012,45000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5,,4866.0
171,Hyundai i10 Magna 1.2,Hyderabad,2013,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,3666.0
172,Mercedes-Benz GLC 220,Peshawar,2016,44414,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5,,56666.0
173,Hyundai Grand i10 1.2 Kappa Asta,Faislabad,2019,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,9853.333333333334,8666.0
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Quetta,2012,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5,,25333.0
175,Volkswagen Vento Petrol Highline AT,Quetta,2013,21000,Petrol,Automatic,Second,14.4 kmpl,1598 CC,103.6 bhp,5,,5933.0
176,Mini Countryman Cooper D,Rawalpindi,2017,8525,Diesel,Automatic,Second,16.6 kmpl,1998 CC,112 bhp,5,,30666.0
177,Hyundai i20 Asta 1.4 CRDi,Peshawar,2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,,11133.0
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Quetta,2014,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,,30600.0
179,Chevrolet Beat Diesel LT,Rawalpindi,2012,88000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,2000.0
180,Skoda Superb Elegance 1.8 TSI AT,Multan,2012,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,,9186.0
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Islamabad,2006,216000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,,1933.0
182,BMW 5 Series 520d Luxury Line,Abbottabad,2014,51000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,92626.66666666667,44666.0
183,Chevrolet Optra Magnum 1.6 LS BS3,Rawalpindi,2007,118500,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5,,1666.0
184,Volkswagen Polo Diesel Highline 1.2L,Abbottabad,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,5600.0
185,Renault Lodgy 110PS RxZ 8 Seater,Quetta,2015,25000,Diesel,Manual,First,19.98 kmpl,1461 CC,108.5 bhp,8,,9000.0
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Peshawar,2014,37382,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5,,42666.0
187,Mazda CX-5,Multan,2017,24773,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,11706.666666666664,10000.0
188,Hyundai Verna 1.6 SX,Hyderabad,2012,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6133.0
189,Hyundai i10 Magna 1.1,Multan,2017,52340,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,,5386.0
190,Mazda CX-5,Multan,2016,56739,Diesel,Manual,First,15.4 kmpl,1997 CC,120 bhp,7,,13746.0
191,Land Rover Range Rover 2.2L Dynamic,Lahore,2018,36091,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,,74346.0
192,Ford Figo Diesel ZXI,Islamabad,2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,3466.0
193,Nissan Leaf,Quetta,2016,33000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7,16986.666666666668,11333.0
194,Honda City 1.5 GXI,Chitral,2007,60006,Petrol,Manual,First,0.0 kmpl,,,0,,3933.0
195,Honda Amaze S i-Dtech,Faislabad,2014,52000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,7000,4666.0
196,Hyundai i10 Magna,Rawalpindi,2015,43571,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,4733.0
197,Honda Amaze S i-Dtech,Faislabad,2013,50000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,4333.0
198,Skoda Laura Ambiente,Abbottabad,2008,113000,Diesel,Manual,First,17.5 kmpl,1896 CC,106 bhp,5,,6000.0
